,Current Job Title:,First job role in the IT sector :,How did you transition to your current role?,What courses did you undertake to prepare for your current job role?,Certification (if any):,Programming Languages Proficient In:,Which programming languages are essential for your job role?,Specialized IT Skills,What additional skills have you acquired to excel in your career?,What motivated you to choose a career in the IT sector?,What advice would you give to students aspiring to enter the IT sector?,Did you participate in any extracurricular activities related to IT during your university years?,What role do mentorship and guidance play in your career advancement?,How do you stay updated with the latest trends and technologies in the IT sector?,What is your long-term career goal within the IT sector?
7,Senior Software Engineer,Intern Software Engineer,Switched companies,"Computer Science fundamentals, Software Engineering principles",no,"VueJS, PHP, C#, Java, JavaScript, SQL, ABAP","VueJS, C#, JavaScript, SQL",DevOps and Continuous Integration/Continuous Deployment,"Communication skills, Problem-solving skills, Time management, Teamwork","Passion for technology, High demand for IT professionals","Focus on building a strong foundation in programming and technical skills, Seek internships or part-time jobs to gain practical experience, Stay updated with the latest trends and technologies in the field, Develop strong problem-solving and communication skills, Be open to learning new things and adapting to change, Don't be afraid to ask questions and seek mentorship","No, I did not participate in extracurricular activities related to IT",Somewhat important,"Online courses, Conferences and workshops, Reading industry publications",Specialize in a specific area such as cybersecurity or artificial intelligence
8,Senior Software Engineer,Intern Software Engineer,Promotion within the same company,"Software Engineering principles, Data Science and Analytics","Artificial Intelligence (AI) and Machine Learning (ML), DevOps",".net, VueJS, Python, C, C#, Java, JavaScript, SQL",".net, VueJS, Python, SQL","Database Management, DevOps and Continuous Integration/Continuous Deployment, Artificial Intelligence (AI) and Machine Learning (ML), Big Data Analytics","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork",Passion for technology,"Focus on building a strong foundation in programming and technical skills, Stay updated with the latest trends and technologies in the field, Develop strong problem-solving and communication skills, Don't be afraid to ask questions and seek mentorship","Yes, I was part of a coding club or programming competition team, Yes, I participated in hackathons or IT-related workshops, Yes, I contributed to open-source projects",Very important,"Online courses, Professional associations",Become a Senior Tech Lead
9,Senior Software Engineer,Intern Software Engineer,Obtained further education or certifications,"Software Engineering principles, Data Science and Analytics",Continuous Integration and Continuous Deployment,C++,C++,Cybersecurity,Communication skills,Career growth opportunities,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
19,Associate Software Engineer,Intern Data Sceintist,Promotion within the same company,"Computer Science fundamentals, Software Engineering principles, Data Science and Analytics","Artificial Intelligence (AI) and Machine Learning (ML), Cloud Computing",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, Python, C#, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Time management, Teamwork",High demand for IT professionals,"Focus on building a strong foundation in programming and technical skills, Seek internships or part-time jobs to gain practical experience, Network with professionals in the industry through events and online platforms, Stay updated with the latest trends and technologies in the field, Develop strong problem-solving and communication skills, Be open to learning new things and adapting to change, Don't be afraid to ask questions and seek mentorship","No, I did not participate in extracurricular activities related to IT",Very important,Online courses,Become a renowned expert or thought leader in the field
26,Associate Software Engineer,Intern Software Engineer,Promotion within the same company,"Computer Science fundamentals, Software Engineering principles, Project Management","AWS, Mongo DB",".net, VueJS, Python, C#, Java, JavaScript, SQL",".net, VueJS, C#, JavaScript, SQL","Database Management, Cloud Computing","Communication skills, Problem-solving skills, Time management","Passion for technology, High demand for IT professionals","Focus on building a strong foundation in programming and technical skills, Seek internships or part-time jobs to gain practical experience","Yes, I was part of a coding club or programming competition team, Yes, I participated in hackathons or IT-related workshops",Very important,"Online courses, Conferences and workshops",Become a Senior Tech Lead
28,Senior Software Engineer,Intern Software Engineer,Promotion within the same company,"Computer Science fundamentals, Software Engineering principles","AWS, Artificial Intelligence (AI) and Machine Learning (ML)",".net, VueJS, JavaScript, SQL",".net, VueJS, JavaScript, SQL",Database Management,"Communication skills, Time management",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I participated in hackathons or IT-related workshops",Very important,Online courses,Become a Senior Tech Lead
29,Associate Software Engineer,Intern Software Engineer,Promotion within the same company,Computer Science fundamentals,Mongo DB,"Python, PHP, C, C++, Java, JavaScript, SQL","JavaScript, SQL",Cloud Computing,"Communication skills, Time management","Passion for technology, Career growth opportunities",Focus on building a strong foundation in programming and technical skills,"No, I did not participate in extracurricular activities related to IT",Very important,"Online courses, Conferences and workshops",Become a senior software engineer
39,Software Architect,Intern Software Engineer,Switched companies,"Computer Science fundamentals, Software Engineering principles, Project Management","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Cloud Computing, Mongo DB, DevOps",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL","Database Management, Cloud Computing, Cybersecurity, DevOps and Continuous Integration/Continuous Deployment, Artificial Intelligence (AI) and Machine Learning (ML), Big Data Analytics","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Potential for innovation, Career growth opportunities","Focus on building a strong foundation in programming and technical skills, Seek internships or part-time jobs to gain practical experience, Develop strong problem-solving and communication skills, Be open to learning new things and adapting to change","Yes, I was part of a coding club or programming competition team, Yes, I participated in hackathons or IT-related workshops, Yes, I contributed to open-source projects, Yes, I attended tech meetups or conferences",Very important,"Online courses, Conferences and workshops, Professional associations, Reading industry publications",Start my own technology company or become an entrepreneur
40,Senior Software Engineer,Intern Software Engineer,Switched companies,"Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Mongo DB, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Teamwork",Passion for technology,Focus on building a strong foundation in programming and technical skills,"No, I did not participate in extracurricular activities related to IT",Very important,Online courses,Become a renowned expert or thought leader in the field
44,Software Architect,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Project Management, Enterprise Architecture Principles, Emerging Technology Trends, Software Security and Compliance, Scalability and Performance Optimization Strategies, Regulatory Compliance in relevant industries","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Mongo DB, TOGAF 9 Certification, AWS Certified Solutions Architect - Professional Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect, Cisco Certified Architect (CCAr)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Passion for technology, High demand for IT professionals",Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
45,Senior Software Engineer,Intern Software Engineer,Promotion within the same company,"Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, Python, JavaScript","Database Management, Cloud Computing","Communication skills, Teamwork",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,,Become a Senior Tech Lead
49,Senior UI/UX Engineer,Intern UI/UX Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, User Experience (UX) Design Fundamentals, User Interface (UI) Design, Frontend Development, Responsive Design, Usability Testing","AWS, Certified Usability Analyst (CUA), Certified User Experience (UX) Professional (CUXP), Google Analytics Individual Qualification (GAIQ), Human Factors International (HFI) Certified Usability Analyst, Adobe Certified Expert (ACE)","Python, JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)","JavaScript, SQL, HTML/CSS,SASS/LESS, TypeScript, Adobe Creative Suite (e.g., Photoshop, Illustrator, XD)",Big Data Analytics,"Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
51,Senior Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Mongo DB, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, Python, JavaScript, SQL",Artificial Intelligence (AI) and Machine Learning (ML),"Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork",Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a Software Architect
52,Associate Software Engineer,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript, SQL","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)",Communication skills,Passion for technology,Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a senior software engineer
53,Senior Software Engineer,Intern Software Engineer,Promotion within the same company,"Computer Science fundamentals, Software Engineering principles, Introduction to Programming with Python, Data Structures and Algorithms, Database Management Systems, Web Development with HTML, CSS, and JavaScript","AWS, Oracle Certified Professional, Java SE Programmer (OCPJP), Microsoft Certified: Azure Developer Associate, Google Associate Android Developer, Cisco Certified Network Associate (CCNA)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, VueJS, JavaScript","Database Management, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills",Passion for technology,Focus on building a strong foundation in programming and technical skills,"No, I did not participate in extracurricular activities related to IT",Very important,Online courses,Become a Software Architect
56,Software Architect,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Project Management, Enterprise Architecture Principles, Emerging Technology Trends, Software Security and Compliance, Scalability and Performance Optimization Strategies, Regulatory Compliance in relevant industries","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Mongo DB, TOGAF 9 Certification, AWS Certified Solutions Architect - Professional Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect, Cisco Certified Architect (CCAr)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Passion for technology, High demand for IT professionals",Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
60,Software Architect,Intern Software Engineer,"Promotion within the same company, Switched companies","Computer Science fundamentals, Software Engineering principles, Project Management, Enterprise Architecture Principles, Emerging Technology Trends, Software Security and Compliance, Scalability and Performance Optimization Strategies, Regulatory Compliance in relevant industries","AWS, Artificial Intelligence (AI) and Machine Learning (ML), Continuous Integration and Continuous Deployment, Mongo DB, TOGAF 9 Certification, AWS Certified Solutions Architect - Professional Microsoft Certified: Azure Solutions Architect Expert, Google Professional Cloud Architect, Cisco Certified Architect (CCAr)",".net, VueJS, Python, PHP, C, C++, C#, Java, JavaScript, SQL",".net, JavaScript, SQL","Database Management, Cloud Computing, Artificial Intelligence (AI) and Machine Learning (ML)","Communication skills, Problem-solving skills, Leadership skills, Time management, Teamwork","Passion for technology, High demand for IT professionals",Focus on building a strong foundation in programming and technical skills,"Yes, I was part of a coding club or programming competition team",Very important,Online courses,Become a renowned expert or thought leader in the field
